canal;campanha;grupo de anúncio;data;impressões;cliques;leads;valor gasto
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45473;1899;10;1;48,3"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45473;3687;38;4;60,47"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45473;1080;7;3;32,62"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45473;1059;3;1;13,96"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45473;768;5;;16,77"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45472;870;8;;24,34"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45472;1645;12;1;29,81"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45472;1624;10;;40,86"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45472;1295;10;1;17,58"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45472;1080;5;;23,91"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45471;1049;7;2;30,83"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45471;2188;18;3;35,47"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45471;2136;11;2;43,31"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45471;1171;13;4;19,25"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45471;1067;8;;24,03"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45470;944;11;1;29,49"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45470;1994;16;3;34,15"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45470;2175;10;3;44,57"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45470;1745;3;1;22,43"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45470;1005;12;2;20,86"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45469;1191;7;2;29,26"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45469;2477;15;4;35,64"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45469;2552;11;2;44,6"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45469;1961;4;2;25,76"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45469;916;4;3;18,94"
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45468;1005;6;;30
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45468;2441;21;4;35,06"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45468;2247;12;2;45,99"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45468;2249;7;2;29,12"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45468;695;7;2;15,98"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45467;1231;7;;31,08"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45467;2138;19;5;31,8"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45467;1791;17;3;44,86"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45467;1859;12;1;28,46"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45467;1052;8;;17,46"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45466;1757;10;2;27,74"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45466;1625;15;3;43,06"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45466;1658;15;4;22,77"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45466;894;8;;19,64"
"facebook;atr_leads | Hyundai Day;LAL Compradores 1%;45465;1360;3;1;23,08"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45465;1282;9;2;22,55"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45465;1176;12;1;35,31"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45465;699;1;1;13,84"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45465;1141;7;;28,27"
"facebook;atr_leads | Hyundai Day;LAL Compradores 1%;45464;2382;8;3;52,75"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45464;1511;14;2;24,4"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45464;1242;15;1;39,2"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45464;730;5;2;14,5"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45464;1358;5;;28,86"
"facebook;atr_leads | Hyundai Day;LAL Compradores 1%;45463;2441;10;2;51,78"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45463;1471;14;5;24,02"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45463;1272;17;3;38,97"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45463;945;1;1;19,42"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45463;1447;8;1;23,97"
"facebook;atr_leads | Hyundai Day;LAL Compradores 1%;45462;2494;12;5;53,57"
